,price,name,year,insurance,color,fueil,prevـuse,license,gear,glass,engine,meter,weel_drive,payment,for_what,prev_owners,passengers,extentions
0,44000,كيا برايد,2008,2340,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,١٨٣٠٠٠ ,,إمكانية التقسيط ,للبيع فقط ,يد اولى ,,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'مسجل CD', 'فرش جلد', 'وسادة حماية هوائية', '', '']"
1,58000,هونداي اكسنت,2013,2050,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,42000 ,,نقدا فقط ,للبيع أو التبديل ,يد اولى ,4+1 ,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'جنطات مغنيسيوم', 'فرش جلد', 'وسادة حماية هوائية', '', '']"
2,40000,بيجو 508,2013,2340,أسود ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000 ,85000 ,,إمكانية التقسيط ,للبيع فقط ,يد ثانيه ,4+1 ,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'مسجل CD', 'فتحة سقف', 'جنطات مغنيسيوم', 'فرش جلد', 'وسادة حماية هوائية', '', '']"
3,70000,سكودا اوكتافيا,2010,2565,أزرق ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900 ,30000 ,,إمكانية التقسيط ,للبيع أو التبديل ,3 ,4+1 ,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'مسجل CD', 'جنطات مغنيسيوم', 'فرش جلد', 'وسادة حماية هوائية', '', '']"
4,33000,سوبارو امبريزا,1999,1170,رصاصي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,30000 ,,نقدا فقط ,للبيع فقط ,3 ,4+1 ,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'مسجل CD', 'جنطات مغنيسيوم', 'وسادة حماية هوائية', '', '']"
5,78000,سيت ليون,2017,2400,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200 ,105 ,,نقدا فقط ,للبيع فقط ,ثالثه ,4+1 ,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'مسجل CD', 'جنطات مغنيسيوم', 'فرش جلد', 'وسادة حماية هوائية', '', '']"
6,50000,مرسيدس 220,1999,1345,خمري ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,105 ,,إمكانية التقسيط ,للبيع أو التبديل ,ثالثه ,4+1 ,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'مسجل CD', 'جنطات مغنيسيوم', 'فرش جلد', 'وسادة حماية هوائية', '', '']"
7,18000,اودي 80,1985,1170,برتقالي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,105 ,,نقدا فقط ,للبيع فقط ,ثالثه ,4+1 ,"['', '', 'إغلاق مركزي', 'مسجل CD', 'جنطات مغنيسيوم', '', '']"
8,30000,هونداي كوبيه,1999,1170,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000 ,105 ,,إمكانية التقسيط ,للبيع أو التبديل ,ثالثه ,4+1 ,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'مسجل CD', 'فتحة سقف', 'جنطات مغنيسيوم', 'فرش جلد', 'وسادة حماية هوائية', '', '']"
9,60000,فولكسفاجن كبينة,1979,1195,أصفر ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,50000 ,دفع أمامي ,إمكانية التقسيط ,للبيع أو التبديل ,٣ ,5+1 ,"['', '', 'مُكيّف', 'إغلاق مركزي', 'جهاز إنذار', 'مسجل CD', 'فتحة سقف', 'جنطات مغنيسيوم', 'فرش جلد', 'وسادة حماية هوائية', '', '']"
